 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Ano/mês processamento e Unidade da Federação
Procedimento: 0410010090 PLASTICA MAMARIA RECONSTRUTIVA POS MASTECTOMIA C/ IMPLANTE DE PROTESE
Período:Jan/2008-Jul/2024
"Ano/mês processamento";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"..Fevereiro/2009";-;-;-;-;-;-;1;-;-;2;-;-;5;-;-;1;4;3;2;41;6;3;7;1;-;1;4;81
"..Março/2009";-;1;-;-;-;-;-;-;-;1;-;-;2;2;-;8;10;2;3;39;5;3;22;-;-;-;2;100
"..Abril/2009";-;-;-;-;-;-;-;-;-;-;1;-;7;-;-;-;7;2;7;43;5;13;15;-;1;-;2;103
"..Maio/2009";-;-;1;-;-;-;-;1;1;1;-;-;4;1;-;4;8;-;9;46;8;9;12;-;-;2;6;113
"..Junho/2009";-;-;-;-;-;-;-;-;-;4;-;-;4;-;-;7;14;1;7;47;6;2;17;-;2;1;3;115
"..Julho/2009";1;-;-;-;-;-;-;-;-;3;-;2;3;1;-;3;6;1;17;47;2;6;10;-;1;1;3;107
"..Agosto/2009";-;-;-;-;-;1;-;-;1;5;-;-;3;-;-;5;15;-;14;45;4;6;15;1;-;-;6;121
"..Setembro/2009";-;-;-;-;-;1;-;-;1;4;-;-;5;-;-;4;16;-;12;43;4;4;7;-;1;1;9;112
"..Outubro/2009";-;-;-;-;-;-;-;-;-;3;-;-;7;-;-;4;16;-;13;38;10;8;12;-;2;1;4;118
"..Novembro/2009";-;1;-;-;-;-;-;1;-;2;-;-;3;-;-;1;10;-;11;63;8;9;15;1;3;1;6;135
"..Dezembro/2009";1;-;1;-;-;1;-;2;-;6;-;-;1;1;-;4;13;-;12;45;6;8;16;-;-;1;1;119
"2010";1;-;5;3;2;1;1;5;-;30;8;-;38;4;3;37;159;20;120;533;54;89;183;13;10;14;25;1358
"..Janeiro/2010";-;-;1;-;-;-;-;-;-;2;2;-;3;-;1;2;11;-;7;45;2;6;15;-;1;-;2;100
"..Fevereiro/2010";-;-;1;-;-;1;-;-;-;1;-;-;2;-;-;1;11;1;7;34;3;3;15;1;2;-;4;87
"..Março/2010";-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;3;13;-;13;45;3;13;13;1;2;1;1;111
"..Abril/2010";-;-;-;-;-;-;-;-;-;2;1;-;4;-;-;1;18;2;7;49;5;5;22;1;-;3;1;121
"..Maio/2010";1;-;-;-;-;-;-;-;-;3;-;-;2;1;-;2;19;4;14;47;3;13;20;-;-;2;-;131
"..Junho/2010";-;-;2;-;1;-;-;1;-;2;1;-;-;-;1;3;20;2;8;59;3;4;14;2;2;2;2;129
"..Julho/2010";-;-;1;-;-;-;-;-;-;2;-;-;5;-;-;2;17;-;10;37;5;10;15;1;-;-;2;107
"..Agosto/2010";-;-;-;1;-;-;-;-;-;7;3;-;5;3;-;2;9;-;11;48;2;6;21;3;-;3;2;126
"..Setembro/2010";-;-;-;1;-;-;1;-;-;-;-;-;5;-;-;11;9;2;9;51;7;11;14;1;-;1;4;127
"..Outubro/2010";-;-;-;1;1;-;-;2;-;5;-;-;2;-;1;5;12;7;11;43;6;10;10;-;-;1;3;120
"..Novembro/2010";-;-;-;-;-;-;-;-;-;3;-;-;7;-;-;3;7;1;14;45;5;3;11;2;3;1;1;106
"..Dezembro/2010";-;-;-;-;-;-;-;2;-;1;-;-;3;-;-;2;13;1;9;30;10;5;13;1;-;-;3;93
"2011";1;2;2;3;-;-;-;3;-;22;2;4;40;4;4;26;123;23;137;519;76;76;185;8;13;8;63;1344
"..Janeiro/2011";-;-;-;-;-;-;-;-;-;6;-;3;3;1;1;1;10;2;13;36;7;9;17;1;1;1;2;114
"..Fevereiro/2011";-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;8;7;8;48;6;4;13;2;2;1;3;105
"..Março/2011";-;-;1;-;-;-;-;-;-;2;1;-;-;1;1;3;8;2;11;52;4;3;8;1;2;-;6;106
"..Abril/2011";1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;15;4;8;51;5;7;15;-;1;-;14;124
"..Maio/2011";-;-;-;-;-;-;-;1;-;3;1;-;6;1;-;5;14;-;13;45;8;1;16;-;-;-;3;117
"..Junho/2011";-;-;-;-;-;-;-;-;-;3;-;-;3;-;-;2;10;1;9;58;7;7;16;1;-;2;6;125
"..Julho/2011";-;1;-;-;-;-;-;-;-;1;-;-;3;-;-;2;11;-;15;34;6;6;24;-;-;1;3;107
"..Agosto/2011";-;-;1;-;-;-;-;-;-;1;-;-;2;-;-;2;7;3;10;37;3;11;11;-;2;-;3;93
"..Setembro/2011";-;-;-;-;-;-;-;1;-;1;-;-;4;-;-;1;10;1;12;28;10;2;18;1;2;2;4;97
"..Outubro/2011";-;-;-;-;-;-;-;-;-;3;-;-;5;-;1;2;11;-;17;52;8;11;13;-;1;-;8;132
"..Novembro/2011";-;1;-;-;-;-;-;-;-;1;-;-;4;-;1;4;9;2;10;41;6;6;20;2;1;1;4;113
"..Dezembro/2011";-;-;-;3;-;-;-;-;-;1;-;-;8;1;-;2;10;1;11;37;6;9;14;-;1;-;7;111
"2012";-;2;9;6;2;4;-;2;1;15;1;6;54;6;6;17;168;19;220;450;78;77;178;7;10;8;48;1394
"..Janeiro/2012";-;1;-;-;-;-;-;-;-;1;-;1;2;1;-;1;13;-;14;25;1;6;12;-;-;-;-;78
"..Fevereiro/2012";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;9;3;10;32;3;5;7;-;1;-;2;75
"..Março/2012";-;-;2;-;-;-;-;-;1;-;-;3;9;-;1;1;23;3;14;45;24;7;14;-;-;2;12;161
"..Abril/2012";-;-;2;-;-;-;-;-;-;2;-;1;5;-;-;4;9;1;10;33;4;6;11;-;1;-;4;93
"..Maio/2012";-;-;2;-;-;-;-;-;-;4;1;-;4;-;2;-;11;5;21;47;7;8;22;2;2;-;15;153
"..Junho/2012";-;-;1;1;1;1;-;-;-;1;-;-;5;1;-;1;15;-;12;35;7;10;25;-;2;3;2;123
"..Julho/2012";-;1;-;-;1;-;-;-;-;2;-;-;5;-;-;-;14;1;13;36;4;9;15;-;1;-;2;104
"..Agosto/2012";-;-;1;1;-;1;-;-;-;2;-;-;3;-;-;2;12;2;29;39;4;6;13;2;-;1;3;121
"..Setembro/2012";-;-;1;1;-;-;-;1;-;2;-;-;3;1;1;-;17;1;21;43;9;5;18;-;1;1;2;128
"..Outubro/2012";-;-;-;1;-;-;-;-;-;1;-;-;4;1;-;3;17;2;37;39;5;5;9;-;-;1;2;127
"..Novembro/2012";-;-;-;1;-;2;-;-;-;-;-;-;11;-;-;2;16;1;25;36;1;4;17;3;1;-;2;122
"..Dezembro/2012";-;-;-;1;-;-;-;1;-;-;-;1;1;2;2;2;12;-;14;40;9;6;15;-;1;-;2;109
"2013";1;5;7;11;3;3;4;3;1;15;13;3;56;6;4;16;163;33;253;515;70;67;188;16;3;7;71;1537
"..Janeiro/2013";1;-;-;1;-;-;-;-;-;1;1;-;4;1;-;1;9;-;23;32;6;4;15;3;1;1;3;107
"..Fevereiro/2013";-;-;-;1;-;-;-;-;-;3;-;-;5;-;-;-;14;2;9;32;14;5;12;-;1;-;4;102
"..Março/2013";-;-;1;1;-;2;-;-;1;1;-;-;5;1;-;2;11;3;17;29;4;5;25;2;-;1;8;119
"..Abril/2013";-;-;4;1;-;-;-;-;-;1;2;-;-;-;-;2;13;6;14;48;6;8;20;1;-;3;3;132
"..Maio/2013";-;-;1;-;1;-;-;-;-;-;-;-;4;1;1;-;14;4;22;39;4;2;18;1;-;1;5;118
"..Junho/2013";-;-;-;-;-;-;-;-;-;2;2;-;4;-;1;-;18;2;21;38;9;7;21;-;-;-;10;135
"..Julho/2013";-;1;-;2;-;-;-;-;-;1;3;2;10;2;-;1;11;4;17;55;3;5;17;2;-;-;8;144
"..Agosto/2013";-;-;-;3;2;-;-;-;-;1;2;-;3;-;-;3;12;2;20;51;3;2;12;-;-;-;2;118
"..Setembro/2013";-;1;-;2;-;-;1;-;-;2;2;-;7;1;2;1;10;2;13;44;6;6;14;2;-;-;5;121
"..Outubro/2013";-;-;-;-;-;-;1;-;-;1;-;1;6;-;-;2;29;6;11;59;5;3;12;2;-;1;8;147
"..Novembro/2013";-;1;-;-;-;-;-;3;-;2;-;-;4;-;-;2;10;1;44;48;7;11;11;1;1;-;8;154
"..Dezembro/2013";-;2;1;-;-;1;2;-;-;-;1;-;4;-;-;2;12;1;42;40;3;9;11;2;-;-;7;140
"2014";-;5;4;2;2;5;12;2;-;19;10;2;33;8;4;17;166;56;324;532;63;80;265;8;8;12;72;1711
"..Janeiro/2014";-;1;-;-;-;-;4;-;-;2;-;-;2;1;1;1;18;5;31;33;7;7;14;1;1;-;5;134
"..Fevereiro/2014";-;-;1;-;-;-;2;-;-;2;1;-;3;-;-;1;14;-;30;34;3;10;15;3;-;-;3;122
"..Março/2014";-;-;-;1;-;-;-;-;-;2;3;1;2;-;-;1;8;5;26;50;2;8;18;1;-;2;4;134
"..Abril/2014";-;1;-;-;-;2;2;-;-;-;-;-;1;2;1;1;10;5;13;47;-;6;26;-;1;1;3;122
"..Maio/2014";-;-;1;-;-;-;1;-;-;3;2;-;-;1;-;2;16;3;24;39;7;10;23;-;1;1;11;145
"..Junho/2014";-;-;-;-;-;2;1;-;-;1;1;-;2;1;-;4;9;5;9;52;10;9;23;1;-;2;3;135
"..Julho/2014";-;1;-;1;1;-;-;-;-;1;-;-;5;-;1;-;8;4;12;44;8;6;30;-;1;1;8;132
"..Agosto/2014";-;2;-;-;-;-;-;1;-;2;-;-;5;-;-;1;22;9;19;43;3;9;18;-;-;1;11;146
"..Setembro/2014";-;-;-;-;-;1;1;-;-;-;-;-;6;-;1;2;16;3;34;56;8;2;21;1;1;-;13;166
"..Outubro/2014";-;-;-;-;-;-;-;-;-;2;-;-;2;2;-;3;25;7;47;48;6;6;36;1;-;1;5;191
"..Novembro/2014";-;-;2;-;1;-;1;-;-;4;1;1;2;1;-;1;10;3;47;50;5;3;26;-;1;2;5;166
"..Dezembro/2014";-;-;-;-;-;-;-;1;-;-;2;-;3;-;-;-;10;7;32;36;4;4;15;-;2;1;1;118
"2015";3;4;7;-;1;1;4;1;-;11;8;5;31;13;2;21;181;33;260;531;53;46;219;18;8;24;43;1528
"..Janeiro/2015";-;-;1;-;-;-;-;-;-;-;-;1;3;-;-;2;15;7;12;53;-;4;27;1;1;-;4;131
"..Fevereiro/2015";-;-;-;-;-;-;1;-;-;-;-;-;-;3;-;2;17;1;21;38;2;2;12;3;2;-;5;109
"..Março/2015";-;-;-;-;-;-;-;-;-;2;-;2;6;-;-;-;20;1;36;41;7;8;10;-;1;-;1;135
"..Abril/2015";-;1;-;-;-;-;-;-;-;-;-;2;6;2;-;2;12;3;11;59;9;5;19;-;-;2;-;133
"..Maio/2015";-;-;1;-;-;-;-;-;-;-;4;-;6;1;-;2;8;1;17;45;3;4;27;2;1;7;4;133
"..Junho/2015";-;-;1;-;-;-;-;-;-;-;1;-;3;1;-;-;15;1;27;47;3;3;14;3;1;4;2;126
"..Julho/2015";1;-;-;-;-;-;-;1;-;1;2;-;-;1;1;3;11;2;21;53;3;7;19;-;1;2;4;133
"..Agosto/2015";-;-;-;-;-;1;-;-;-;1;-;-;4;3;-;1;17;6;33;49;4;3;20;2;1;1;8;154
"..Setembro/2015";-;1;1;-;-;-;-;-;-;1;-;-;2;-;-;2;21;-;24;37;8;2;16;1;-;1;5;122
"..Outubro/2015";-;2;1;-;1;-;1;-;-;1;-;-;-;-;1;3;10;3;23;49;7;2;15;4;-;3;2;128
"..Novembro/2015";2;-;2;-;-;-;2;-;-;1;1;-;-;1;-;1;20;7;11;27;5;1;25;1;-;2;6;115
"..Dezembro/2015";-;-;-;-;-;-;-;-;-;4;-;-;1;1;-;3;15;1;24;33;2;5;15;1;-;2;2;109
"2016";4;5;14;2;2;4;4;1;2;22;8;3;45;18;12;22;190;27;249;377;32;70;183;23;10;30;42;1401
"..Janeiro/2016";1;-;1;-;-;-;1;-;-;3;-;-;-;-;-;2;11;3;15;31;4;6;6;2;2;2;5;95
"..Fevereiro/2016";-;1;1;-;-;-;-;-;-;-;-;1;1;-;-;1;10;2;17;25;8;4;8;1;-;1;2;83
"..Março/2016";-;-;-;-;-;-;-;-;-;1;1;-;2;-;2;1;21;4;25;23;3;1;8;3;3;2;4;104
"..Abril/2016";1;-;-;-;-;-;-;-;-;2;-;-;4;-;-;-;18;5;16;35;1;2;10;2;1;-;5;102
"..Maio/2016";-;1;2;-;-;-;1;-;-;2;-;-;4;-;-;3;21;1;29;39;2;3;32;3;-;1;2;146
"..Junho/2016";-;1;-;-;-;2;-;1;-;-;-;1;1;1;2;-;13;3;31;28;2;2;9;2;1;2;4;106
"..Julho/2016";1;1;2;-;1;1;-;-;-;1;1;-;4;1;-;4;14;2;18;38;1;8;19;-;1;1;5;124
"..Agosto/2016";1;-;-;-;-;-;-;-;1;1;-;1;3;1;-;2;17;3;13;32;5;2;19;-;-;-;1;102
"..Setembro/2016";-;-;1;-;-;-;1;-;1;-;-;-;9;2;-;-;13;1;12;34;-;11;17;4;1;1;2;110
"..Outubro/2016";-;-;-;-;-;-;1;-;-;3;4;-;5;4;-;2;13;1;30;31;2;8;16;2;-;11;2;135
"..Novembro/2016";-;1;2;1;1;1;-;-;-;3;1;-;8;7;-;3;19;1;20;36;-;9;15;4;-;3;2;137
"..Dezembro/2016";-;-;5;1;-;-;-;-;-;6;1;-;4;2;8;4;20;1;23;25;4;14;24;-;1;6;8;157
"2017";3;3;12;9;3;-;14;-;-;18;4;2;38;5;2;19;164;21;292;365;47;70;191;15;9;9;54;1369
"..Janeiro/2017";-;-;1;-;-;-;-;-;-;1;-;-;1;2;-;-;10;4;19;22;1;3;14;-;-;2;6;86
"..Fevereiro/2017";-;1;2;-;-;-;-;-;-;2;1;-;2;-;-;-;11;1;29;20;2;3;12;2;-;-;1;89
"..Março/2017";-;-;-;-;-;-;1;-;-;2;-;-;3;-;-;1;16;1;37;25;-;4;21;3;1;-;2;117
"..Abril/2017";1;-;-;1;1;-;1;-;-;1;-;-;9;1;-;2;8;3;15;34;4;5;11;-;2;-;5;104
"..Maio/2017";1;-;-;1;-;-;2;-;-;4;1;-;3;-;-;1;15;-;25;24;9;10;13;2;1;2;4;118
"..Junho/2017";-;-;3;1;2;-;1;-;-;1;1;-;8;-;-;1;27;2;24;35;4;9;28;1;-;1;-;149
"..Julho/2017";-;-;1;3;-;-;-;-;-;1;-;1;1;2;-;2;8;-;24;41;3;3;20;1;1;-;-;112
"..Agosto/2017";1;-;3;3;-;-;-;-;-;1;1;-;5;-;-;3;15;1;20;38;2;5;13;2;1;1;2;117
"..Setembro/2017";-;-;-;-;-;-;3;-;-;-;-;-;1;-;1;2;13;3;26;32;4;7;7;-;-;-;6;105
"..Outubro/2017";-;1;2;-;-;-;1;-;-;3;-;1;-;-;-;3;12;-;21;32;2;4;19;1;-;2;7;111
"..Novembro/2017";-;1;-;-;-;-;4;-;-;1;-;-;3;-;1;2;20;3;33;29;10;11;15;3;3;1;5;145
"..Dezembro/2017";-;-;-;-;-;-;1;-;-;1;-;-;2;-;-;2;9;3;19;33;6;6;18;-;-;-;16;116
"2018";5;-;12;3;4;-;3;4;1;19;1;9;27;2;3;66;165;38;253;372;37;54;170;13;4;17;56;1338
"..Janeiro/2018";-;-;1;-;-;-;1;-;-;2;-;-;4;-;1;-;11;4;32;26;1;3;10;4;-;1;5;106
"..Fevereiro/2018";-;-;1;-;-;-;1;2;-;1;-;1;3;-;-;1;9;2;10;28;4;1;3;-;1;-;4;72
"..Março/2018";-;-;-;1;-;-;-;1;-;1;-;-;5;1;1;1;18;5;9;24;1;2;11;2;-;-;5;88
"..Abril/2018";-;-;3;-;1;-;-;-;-;1;-;-;7;-;-;5;10;5;12;31;5;2;20;-;1;1;5;109
"..Maio/2018";1;-;-;-;1;-;-;-;-;3;-;-;-;-;-;6;11;5;25;47;4;5;12;-;-;1;4;125
"..Junho/2018";1;-;2;1;-;-;-;-;-;1;-;-;-;1;-;1;11;4;26;25;2;2;17;2;-;3;5;104
"..Julho/2018";-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;3;18;7;13;31;4;6;14;2;-;3;3;107
"..Agosto/2018";-;-;1;-;1;-;-;1;-;1;-;1;1;-;-;8;10;4;19;31;2;5;18;1;1;-;5;110
"..Setembro/2018";-;-;-;1;-;-;1;-;-;4;-;2;3;-;-;5;12;1;35;39;7;9;24;-;-;-;2;145
"..Outubro/2018";3;-;1;-;-;-;-;-;-;2;-;-;-;-;1;7;15;-;28;33;3;10;17;2;-;-;11;133
"..Novembro/2018";-;-;-;-;-;-;-;-;1;-;1;2;3;-;-;15;10;-;28;37;1;5;8;-;-;6;3;120
"..Dezembro/2018";-;-;2;-;-;-;-;-;-;2;-;3;1;-;-;14;30;1;16;20;3;4;16;-;1;2;4;119
"2019";4;1;21;-;2;-;7;4;-;33;2;5;17;4;4;123;176;30;186;478;35;78;150;18;-;47;69;1494
"..Janeiro/2019";-;-;-;-;-;-;-;-;-;3;-;3;1;1;2;13;10;2;11;28;1;4;12;1;-;-;5;97
"..Fevereiro/2019";-;-;3;-;-;-;1;-;-;3;1;-;1;-;1;2;10;2;16;40;1;4;7;3;-;1;7;103
"..Março/2019";1;-;-;-;-;-;-;-;-;1;1;-;-;1;-;1;15;2;14;35;-;2;6;3;-;-;6;88
"..Abril/2019";-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;9;15;4;13;47;6;11;11;2;-;3;1;125
"..Maio/2019";-;-;3;-;-;-;-;1;-;3;-;-;-;-;-;9;16;3;18;45;4;6;8;3;-;5;7;131
"..Junho/2019";2;-;2;-;-;-;-;2;-;1;-;-;2;-;-;22;10;3;11;28;5;5;22;1;-;3;8;127
"..Julho/2019";1;-;2;-;-;-;-;1;-;5;-;1;1;1;-;7;12;3;17;46;3;5;11;2;-;2;8;128
"..Agosto/2019";-;1;5;-;-;-;-;-;-;2;-;-;1;1;1;8;19;1;6;50;2;4;17;1;-;6;5;130
"..Setembro/2019";-;-;-;-;-;-;-;-;-;2;-;-;4;-;-;16;18;7;17;42;4;3;19;-;-;7;7;146
"..Outubro/2019";-;-;1;-;1;-;1;-;-;3;-;1;1;-;-;11;10;3;28;35;2;8;17;1;-;14;7;144
"..Novembro/2019";-;-;4;-;-;-;-;-;-;4;-;-;2;-;-;12;23;-;13;32;5;12;15;-;-;4;4;130
"..Dezembro/2019";-;-;1;-;1;-;5;-;-;4;-;-;3;-;-;13;18;-;22;50;2;14;5;1;-;2;4;145
"2020";2;-;12;-;-;-;5;-;-;10;-;-;18;2;6;140;77;6;85;253;19;42;90;4;1;22;44;838
"..Janeiro/2020";-;-;1;-;-;-;3;-;-;1;-;-;4;1;1;17;15;1;10;43;2;5;11;1;-;2;4;122
"..Fevereiro/2020";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;14;4;-;15;42;2;5;8;2;-;1;5;100
"..Março/2020";1;-;2;-;-;-;2;-;-;2;-;-;4;-;-;11;16;5;10;26;1;7;14;-;-;3;9;113
"..Abril/2020";-;-;1;-;-;-;-;-;-;-;-;-;2;-;1;4;2;-;3;8;4;5;11;1;-;-;4;46
"..Maio/2020";-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;11;7;-;3;10;1;1;8;-;-;-;5;48
"..Junho/2020";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;6;-;1;5;2;1;5;-;-;-;4;32
"..Julho/2020";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;11;1;-;4;7;3;1;5;-;-;-;-;33
"..Agosto/2020";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;12;2;-;7;17;-;-;4;-;-;1;2;46
"..Setembro/2020";-;-;5;-;-;-;-;-;-;-;-;-;2;-;-;14;7;-;6;19;2;1;2;-;-;-;-;58
"..Outubro/2020";-;-;-;-;-;-;-;-;-;3;-;-;1;-;-;11;4;-;8;26;1;11;6;-;-;10;8;89
"..Novembro/2020";-;-;1;-;-;-;-;-;-;2;-;-;2;-;2;17;8;-;9;21;1;2;12;-;-;4;2;83
"..Dezembro/2020";1;-;-;-;-;-;-;-;-;2;-;-;-;1;1;10;5;-;9;29;-;3;4;-;1;1;1;68
"2021";1;-;10;1;6;-;-;1;2;28;3;-;20;9;3;169;51;42;88;207;12;30;80;2;1;10;49;825
"  Janeiro/2021";-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;3;3;1;13;13;-;2;7;-;-;1;1;47
"  Fevereiro/2021";-;-;-;-;-;-;-;-;-;2;-;-;3;-;-;6;7;-;6;23;-;2;10;-;-;-;5;64
"  Março/2021";-;-;-;-;-;-;-;-;-;1;2;-;4;1;-;9;2;-;6;22;-;1;2;1;-;1;2;54
"  Abril/2021";-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;12;2;-;6;14;3;-;-;-;-;-;3;43
"  Maio/2021";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;-;1;4;17;-;-;-;-;-;1;2;41
"  Junho/2021";-;-;2;-;-;-;-;1;-;2;-;-;-;-;-;20;3;4;9;16;-;2;5;-;-;1;3;68
"  Julho/2021";1;-;1;1;-;-;-;-;-;2;-;-;1;-;-;5;1;7;9;13;-;2;4;-;-;-;11;58
"  Agosto/2021";-;-;-;-;-;-;-;-;-;5;-;-;1;-;1;12;2;5;11;17;3;4;13;-;-;-;6;80
"  Setembro/2021";-;-;2;-;-;-;-;-;-;1;1;-;4;1;-;19;4;12;-;19;-;4;10;-;-;1;4;82
"  Outubro/2021";-;-;2;-;-;-;-;-;-;2;-;-;4;3;2;18;4;3;7;15;2;5;8;-;-;4;11;90
"  Novembro/2021";-;-;1;-;5;-;-;-;2;3;-;-;2;1;-;40;13;2;8;18;1;6;11;1;-;1;1;116
"  Dezembro/2021";-;-;1;-;1;-;-;-;-;8;-;-;-;1;-;9;10;7;9;20;3;2;10;-;1;-;-;82
"2022";14;-;27;3;7;2;1;-;-;20;5;2;31;13;6;245;71;60;127;278;32;34;137;12;7;14;50;1198
"..Janeiro/2022";1;-;8;-;-;-;-;-;-;3;1;-;1;2;1;24;11;-;7;13;2;2;4;-;-;1;3;84
"..Fevereiro/2022";2;-;-;-;-;-;-;-;-;1;1;-;1;2;-;31;5;3;6;12;2;2;15;-;-;-;2;85
"..Março/2022";2;-;3;-;1;-;-;-;-;2;-;-;-;1;1;19;-;5;6;22;1;3;12;1;-;1;3;83
"..Abril/2022";2;-;-;-;-;1;-;-;-;1;1;-;1;2;-;11;3;7;10;24;1;6;10;-;-;-;2;82
"..Maio/2022";2;-;-;-;-;-;-;-;-;3;-;-;2;-;-;20;7;9;12;18;5;4;10;-;2;-;2;96
"..Junho/2022";2;-;4;-;-;-;1;-;-;-;1;-;1;2;1;2;6;5;7;18;-;3;11;-;1;1;3;69
"..Julho/2022";1;-;1;-;1;-;-;-;-;3;-;-;2;1;-;40;3;2;9;23;3;2;12;1;-;-;6;110
"..Agosto/2022";1;-;-;-;1;-;-;-;-;-;-;-;2;-;-;24;3;4;9;16;4;4;16;-;1;3;6;94
"..Setembro/2022";1;-;2;-;3;1;-;-;-;1;-;1;3;1;1;19;11;10;12;29;4;3;9;2;1;1;1;116
"..Outubro/2022";-;-;-;-;-;-;-;-;-;1;-;1;7;2;-;17;2;6;16;44;3;1;7;2;1;1;10;121
"..Novembro/2022";-;-;1;-;1;-;-;-;-;5;1;-;8;-;-;16;9;6;23;34;3;3;14;2;-;1;10;137
"..Dezembro/2022";-;-;8;3;-;-;-;-;-;-;-;-;3;-;2;22;11;3;10;25;4;1;17;4;1;5;2;121
"2023";13;-;20;8;19;7;2;4;7;19;1;3;16;7;6;212;119;89;116;504;19;37;148;27;13;16;30;1462
"Janeiro/2023";1;-;-;1;1;1;-;-;-;1;-;-;1;1;1;17;16;4;6;38;-;2;9;3;-;-;1;104
"Fevereiro/2023";-;-;6;2;-;-;-;-;1;-;-;-;1;1;-;12;10;5;6;22;1;-;12;4;4;1;-;88
"Março/2023";-;-;-;-;2;-;1;-;-;1;1;-;3;-;1;24;13;7;4;38;1;-;11;-;-;2;1;110
"Abril/2023";2;-;1;-;-;2;1;1;-;1;-;-;2;-;1;11;16;8;5;48;-;4;14;2;-;1;1;121
"Maio/2023";3;-;-;1;-;1;-;-;-;1;-;-;2;1;2;14;5;8;13;62;3;5;14;3;-;2;4;144
"Junho/2023";-;-;1;2;-;1;-;1;3;4;-;-;-;1;-;16;8;11;7;61;1;5;23;7;1;3;5;161
"Julho/2023";1;-;3;1;-;1;-;-;1;1;-;1;-;-;-;19;8;5;10;47;1;1;16;2;2;-;1;121
"Agosto/2023";-;-;2;-;2;1;-;1;-;1;-;-;-;1;-;18;4;9;8;56;3;-;10;2;-;2;1;121
"Setembro/2023";1;-;1;1;3;-;-;1;-;2;-;1;-;1;-;20;4;12;6;45;3;4;7;2;1;2;4;121
"Outubro/2023";4;-;4;-;2;-;-;-;1;2;-;-;3;-;-;31;8;9;20;34;4;4;11;-;2;1;7;147
